NUM_ITEMS,FIELD,Model
182,Life Sciences,Hybrid (Open Choice)
29, Multidisciplinary,Closed Access
171,Physical Sciences,Closed Access
18,Health Sciences,Closed Access
132,Health Sciences,Gold Open Access
24,Social Sciences,Gold Open Access
8,Social Sciences,Closed Access
433,Physical Sciences,Hybrid (Open Choice)
397, Multidisciplinary,Hybrid (Open Choice)
220,Health Sciences,Hybrid (Open Choice)
57,Life Sciences,Gold Open Access
285,Social Sciences,Hybrid (Open Choice)
142, Multidisciplinary,Gold Open Access
70,Physical Sciences,Gold Open Access
29,Life Sciences,Closed Access
